task,task_type,router_feature_set,budget,primary_metric,primary_mean,primary_std,primary_mean_std,call_rate_mean,n_seeds
ESOL,regression,ecfp_only,10.0,MAE,0.5964583751784853,0.0106471690311284,0.596458 +/- 0.010647,9.9601593625498,5
ESOL,regression,ecfp_only,20.0,MAE,0.5951639843017456,0.0118590359115027,0.595164 +/- 0.011859,19.9203187250996,5
ESOL,regression,ecfp_only,40.0,MAE,0.5948318777715068,0.0076667881651858,0.594832 +/- 0.007667,39.8406374501992,5
ESOL,regression,ecfp_only,60.0,MAE,0.5951327385739026,0.006792339241942,0.595133 +/- 0.006792,60.1593625498008,5
ESOL,regression,ecfp_only,80.0,MAE,0.5982306289680451,0.0068345684884126,0.598231 +/- 0.006835,80.0796812749004,5
ESOL,regression,ecfp_only,100.0,MAE,0.5987428289109491,0.0049206179718664,0.598743 +/- 0.004921,100.0,5
ESOL,regression,ecfp_uncertainty,0.0,MAE,0.6019217134369322,0.0115463247949264,0.601922 +/- 0.011546,0.0,5
ESOL,regression,ecfp_uncertainty,5.0,MAE,0.5986122929462873,0.0113542481056738,0.598612 +/- 0.011354,5.179282868525896,5
ESOL,regression,ecfp_uncertainty,10.0,MAE,0.5944802078148284,0.0120549636398333,0.594480 +/- 0.012055,9.9601593625498,5
ESOL,regression,ecfp_uncertainty,20.0,MAE,0.593573625383719,0.0107576498039675,0.593574 +/- 0.010758,19.9203187250996,5
ESOL,regression,ecfp_uncertainty,40.0,MAE,0.594615955930307,0.0075957812406765,0.594616 +/- 0.007596,39.8406374501992,5
ESOL,regression,ecfp_uncertainty,60.0,MAE,0.5940832702408748,0.0066627321188221,0.594083 +/- 0.006663,60.1593625498008,5
ESOL,regression,ecfp_uncertainty,80.0,MAE,0.5958589817700634,0.0098250389013584,0.595859 +/- 0.009825,80.0796812749004,5
ESOL,regression,ecfp_uncertainty,100.0,MAE,0.5987428289109491,0.0049206179718664,0.598743 +/- 0.004921,100.0,5
ESOL,regression,full_ecfp_desc_uncertainty_support,0.0,MAE,0.6019217134369322,0.0115463247949264,0.601922 +/- 0.011546,0.0,5
ESOL,regression,full_ecfp_desc_uncertainty_support,5.0,MAE,0.6001568002928775,0.0122343216670222,0.600157 +/- 0.012234,5.179282868525896,5
ESOL,regression,full_ecfp_desc_uncertainty_support,10.0,MAE,0.598386413479991,0.012322184226768,0.598386 +/- 0.012322,9.9601593625498,5
ESOL,regression,full_ecfp_desc_uncertainty_support,20.0,MAE,0.5974961792820478,0.0156256479963344,0.597496 +/- 0.015626,19.9203187250996,5
ESOL,regression,full_ecfp_desc_uncertainty_support,40.0,MAE,0.5984905985585247,0.0159711284481436,0.598491 +/- 0.015971,39.8406374501992,5
ESOL,regression,full_ecfp_desc_uncertainty_support,60.0,MAE,0.5969051777843459,0.0139374122954152,0.596905 +/- 0.013937,60.1593625498008,5
ESOL,regression,full_ecfp_desc_uncertainty_support,80.0,MAE,0.5995817113815551,0.0107971234327361,0.599582 +/- 0.010797,80.0796812749004,5
ESOL,regression,full_ecfp_desc_uncertainty_support,100.0,MAE,0.5987428289109491,0.0049206179718664,0.598743 +/- 0.004921,100.0,5
ESOL,regression,oracle,0.0,MAE,0.6019217134369322,0.0115463247949264,0.601922 +/- 0.011546,0.0,5
ESOL,regression,oracle,5.0,MAE,0.5818544350650681,0.0096679707150007,0.581854 +/- 0.009668,5.179282868525896,5
ESOL,regression,oracle,10.0,MAE,0.569091259962439,0.0089039189348164,0.569091 +/- 0.008904,9.9601593625498,5
ESOL,regression,oracle,20.0,MAE,0.549774142271399,0.0066992773820702,0.549774 +/- 0.006699,19.9203187250996,5
ESOL,regression,oracle,40.0,MAE,0.5327601176417681,0.0028092470923608,0.532760 +/- 0.002809,39.8406374501992,5
